top - 05:48:19 up  4:28,  0 users,  load average: 4.00, 5.08, 8.50
Tasks:  54 total,   1 running,  53 sleeping,   0 stopped,   0 zombie
%Cpu(s): 16.7 us,  6.3 sy,  0.0 ni, 75.4 id,  0.0 wa,  0.0 hi,  1.6 si,  0.0 st
MiB Mem :   7935.4 total,   3261.5 free,   2392.5 used,   2281.3 buff/cache
MiB Swap:   3967.7 total,   3967.7 free,      0.0 used.   5336.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  33421 root       1 -19 1599676 314232 125492 S  25.0   3.9   1:30.82 person_+
  33433 root      20   0  874136  61288  18140 S  18.8   0.8   0:44.58 ascamer+
  33425 root      20   0  476288  57652  25024 S  12.5   0.7   0:22.11 supervi+
  33427 root      20   0  477940  59392  25388 S  12.5   0.7   0:45.26 topic_h+
  33435 root      20   0  480676  62448  25432 S  12.5   0.8   0:30.73 depth_t+
  33356 root      20   0  480332  60860  25944 S   6.2   0.7   0:35.14 localiz+
  33431 root      20   0 1001832  65892  26324 S   6.2   0.8   0:34.91 web_ser+
  33447 root      20   0  505912  29112  18192 S   6.2   0.4   0:16.10 ekf_node
  33665 root      20   0  933504  52208  18044 S   6.2   0.6   0:41.33 ascamer+
  33667 root      20   0  482644  64156  25332 S   6.2   0.8   0:29.10 depth_t+
  33735 root      20   0  572592  23956  14476 S   6.2   0.3   0:21.12 rplidar+
      1 root      20   0    4668   3572   2972 S   0.0   0.0   0:00.15 bash
    497 root      20   0    4688   3764   3028 S   0.0   0.0   0:00.02 bash
    521 root      20   0    4684   3640   3000 S   0.0   0.0   0:00.04 bash
    552 root      20   0    4684   3732   3000 S   0.0   0.0   0:00.04 bash
   1362 root      20   0  688592  63960  25108 S   0.0   0.8   2:17.17 python3
   9569 root      20   0    4688   3728   2996 S   0.0   0.0   0:00.04 bash
   9597 root      20   0    4684   3736   3004 S   0.0   0.0   0:00.04 bash
  10206 root      20   0    5556   4068   2584 S   0.0   0.1   2:01.23 htop
  23446 root      20   0    4536   3384   2840 S   0.0   0.0   0:00.03 bash
  23479 root      20   0  477252  64444  24992 S   0.0   0.8   0:52.03 ros2
  24631 root      20   0    4296   3020   2700 S   0.0   0.0   0:00.05 bash
  25267 root      20   0    4296   1588   1264 S   0.0   0.0   0:00.00 bash
  25268 root      20   0    2656    792    708 S   0.0   0.0   0:00.00 tee
  25296 root      20   0  477100  64324  24992 S   0.0   0.8   0:41.71 ros2
  33297 root      20   0 2494944  40292  16764 S   0.0   0.5   0:04.34 ros2
  33321 root      20   0  550400  58024  25724 S   0.0   0.7   0:06.74 ultraso+
  33323 root      20   0  476360  57688  25680 S   0.0   0.7   0:07.87 ultraso+
  33325 root      20   0  427996  25872  16132 S   0.0   0.3   0:04.11 robot_s+
  33327 root      20   0  427216  24848  14916 S   0.0   0.3   0:10.14 chassis+
  33329 root      20   0  425208  23908  14640 S   0.0   0.3   0:04.47 bms_rec+
  33331 root      20   0  424236  22936  13968 S   0.0   0.3   0:06.34 wt901_i+
  33333 root      20   0  424616  23768  14352 S   0.0   0.3   0:08.75 cmd_arb+
