top - 05:50:18 up  4:30,  0 users,  load average: 5.33, 5.37, 8.19
Tasks:  54 total,   1 running,  53 sleeping,   0 stopped,   0 zombie
%Cpu(s): 17.6 us,  5.3 sy,  0.0 ni, 74.0 id,  1.5 wa,  0.0 hi,  1.5 si,  0.0 st
MiB Mem :   7935.4 total,   3263.4 free,   2389.8 used,   2282.1 buff/cache
MiB Swap:   3967.7 total,   3967.7 free,      0.0 used.   5339.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  34907 root       1 -19 1664004 329576 125492 S  43.8   4.1   0:28.28 person_+
  34851 root      20   0  480336  60596  25944 S  12.5   0.7   0:10.95 localiz+
  34913 root      20   0  477940  58776  25372 S  12.5   0.7   0:13.85 topic_h+
  34917 root      20   0  928000  65184  26216 S  12.5   0.8   0:12.18 web_ser+
  34921 root      20   0  871812  51384  18140 S  12.5   0.6   0:08.92 ascamer+
  34928 root      20   0  480036  61532  25432 S  12.5   0.8   0:08.44 depth_t+
  34819 root      20   0  424616  23556  14392 S   6.2   0.3   0:03.54 cmd_arb+
  34821 root      20   0  426992  25636  15052 S   6.2   0.3   0:04.54 safety_+
  35150 root      20   0  933508  42172  18140 S   6.2   0.5   0:06.47 ascamer+
  35251 root      20   0  572572  23596  14476 S   6.2   0.3   0:04.68 rplidar+
      1 root      20   0    4668   3572   2972 S   0.0   0.0   0:00.16 bash
    497 root      20   0    4688   3764   3028 S   0.0   0.0   0:00.02 bash
    521 root      20   0    4684   3640   3000 S   0.0   0.0   0:00.04 bash
    552 root      20   0    4684   3732   3000 S   0.0   0.0   0:00.04 bash
   1362 root      20   0  688592  63960  25108 S   0.0   0.8   2:19.40 python3
   9569 root      20   0    4688   3728   2996 S   0.0   0.0   0:00.04 bash
   9597 root      20   0    4684   3736   3004 S   0.0   0.0   0:00.04 bash
  10206 root      20   0    5556   4068   2584 S   0.0   0.1   2:02.59 htop
  23446 root      20   0    4536   3384   2840 S   0.0   0.0   0:00.03 bash
  23479 root      20   0  477252  64444  24992 S   0.0   0.8   0:54.20 ros2
  24631 root      20   0    4296   3020   2700 S   0.0   0.0   0:00.05 bash
  25267 root      20   0    4296   1588   1264 S   0.0   0.0   0:00.00 bash
  25268 root      20   0    2656    792    708 S   0.0   0.0   0:00.00 tee
  25296 root      20   0  477100  64324  24992 S   0.0   0.8   0:43.75 ros2
  34783 root      20   0 2494816  40008  16764 S   0.0   0.5   0:01.47 ros2
  34807 root      20   0  550420  57956  25708 S   0.0   0.7   0:03.50 ultraso+
  34809 root      20   0  476368  57468  25680 S   0.0   0.7   0:03.55 ultraso+
  34811 root      20   0  428004  25504  16024 S   0.0   0.3   0:02.07 robot_s+
  34813 root      20   0  427212  24376  14976 S   0.0   0.3   0:03.95 chassis+
  34815 root      20   0  425220  23856  14624 S   0.0   0.3   0:02.19 bms_rec+
  34817 root      20   0  424112  22828  13908 S   0.0   0.3   0:02.85 wt901_i+
  34836 root      20   0  424360  22976  14172 S   0.0   0.3   0:02.04 pc_nav_+
  34866 root      20   0  425960  24176  14884 S   0.0   0.3   0:03.32 motion_+
  34876 root      20   0  550080  57692  25280 S   0.0   0.7   0:02.56 map_man+
  34886 root      20   0  551664  59148  25324 S   0.0   0.7   0:02.45 slam_se+
  34891 root      20   0  558016  63520  26740 S   0.0   0.8   0:03.04 nav_ses+
  34899 root      20   0  560096  64844  26880 S   0.0   0.8   0:02.68 follow_+
  34901 root      20   0  559716  64692  26892 S   0.0   0.8   0:03.93 recharg+
